Key,English,Spanish,French,German,Portuguese,Serbian,Japanese
accessibilityAndLanguage,ACCESSIBILITY & LANGUAGE,ACCESIBILIDAD Y IDIOMA,ACCESSIBILITÉ ET LANGUE,ZUGANG & SPRACHE,ACESSIBILIDADE E LÍNGUA,PRISTUP I JEZIK,アクセシビリティと言語
actions,ACTIONS,,,,,,
addHymnal,Add Hymnal,Agregar Himnarios,Ajouter un Livre de Hymnes,Gesangbuch hinzufügen,Adicionar Hinário,Dodajte himnala,賛美歌集を追加
addHymnalSubtitle,Download hymnals to access them offline.,Descarga himnarios para acceder sin conexión.,Téléchargez les hymnaires pour les accéder hors ligne.,"Lade Hymnals herunter, um sie offline verfügbar zu machen.",Baixe hinários para acessá-los offline.,Preuzmite himnale za dostupnost offline.,オフラインで賛美歌集にアクセスするためにダウンロードします。
all,All,Todas,Toutes,Alle,Todas,Sve,すべて
allHymnals,All Hymnals,Todos los Himnarios,Tous les Hymnaires,Alle Gesangbücher,Todos os Hinários,Svi Himnari,すべての聖歌集
alphabetical,Alphabetical,Alfabético,Alphabétique,Alphabetisch,Alfabético,Abecedni,アルファベット順
appVersion,App Version,Versión de la aplicación,Version de l'application,App-Version,Versão do aplicativo,Verzija aplikacije,アプリケーションバージョン
appearance,APPEARANCE,APARIENCIA,APPARIENCE,ERSCHEINUNGSBILD,APARÊNCIA,APARATURA,外観
apply,Apply,Aplicar,Appliquer,Anwenden,Aplicar,Primeni,適用
back,Back,Atrás,Retour,Zurück,Voltar,Nazad,戻る
bookmarks,Bookmarks,Marcadores,Marque-pages,Lesezeichen,Marcadores,Zabilježi,ブックマーク
broadcast,Broadcast,,,,,,
cancel,Cancel,Cancelar,Annuler,Stornieren,Cancelar,Otkaži,キャンセル
clear,Clear,Limpiar,Effacer,Löschen,Limpar,Očisti,クリア
clearAll,Clear All,Limpiar Todo,Tout Effacer,Alles Löschen,Limpar Tudo,Očisti Sve,すべてクリア
clearCache,Clear Cache,Limpiar Caché,Effacer le Cache,Cache löschen,Limpar Cache,Očisti keš,キャッシュをクリア
clearCacheConfirmation,Clear Cache?,Limpiar Caché?,Effacer le Cache?,Cache löschen?,Limpar Cache?,Očisti keš?,キャッシュをクリア?
clearCacheConfirmationMessage,This will delete all cached files created by the app.,Esto eliminará todos los archivos caché creados por la aplicación.,Cela supprimera tous les fichiers mis en cache créés par l'application.,"Dies wird alle zwischengespeicherten Dateien löschen, die von der App erstellt wurden.",Isso deletará todos os arquivos em cache criados pela aplicação.,Ovo će obrisati sve keš fajlove koje je napravila aplikacija.,これはアプリが作成したキャッシュファイルをすべて削除します。
clearHistory,Clear History,Limpiar Historial,Effacer l'Historique,Löschen,Limpar Histórico,Očisti Historijat,履歴をクリア
clearHistoryMessage,You cannot undo this action,No se puede deshacer esta acción,Vous ne pouvez pas annuler cette action,Sie können diese Aktion nicht rückgängig machen,Você não pode desfazer esta ação,Ne možete vratiti ovu akciju,この操作は元に戻せません
clearScreen,Clear Screen,,,,,,
confirm,Confirm,Confirmar,Confirmer,Bestätigen,Confirmar,Potvrdi,確認
darkMode,Dark Mode,Modo Oscuro,Mode Sombre,Dunkelmodus,Modo Escuro,Tamni Modus,ダークモード
